node_id,x,y,z,physical_group,physical_tag
8427,-8.333333333333334,1.000000000001163,2.499999999998225,NanoBridge,1
8428,-8.333333333333336,1.000000000000488,3.333333333332155,NanoBridge,1
8429,-8.333333333333336,0.9999999999998134,4.166666666666077,NanoBridge,1
8430,-8.33333333333333,2.000000000001054,0.8333333333328528,NanoBridge,1
8431,-8.333333333333327,2.000000000000627,1.666666666665133,NanoBridge,1
8432,-8.333333333333336,2.000000000000195,2.499999999998352,NanoBridge,1
8433,-8.333333333333336,1.999999999999766,3.333333333332238,NanoBridge,1
8434,-8.333333333333334,1.999999999999334,4.166666666666123,NanoBridge,1
8435,-8.333333333333325,2.999999999999579,0.8333333333328892,NanoBridge,1
8436,-8.333333333333325,2.999999999999393,1.666666666665251,NanoBridge,1
8437,-8.333333333333332,2.999999999999211,2.499999999998479,NanoBridge,1
